Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches,Team
Esther González,es ESP,"FW,MF",32-276,17.6,15,8,3,8,4,6,9,66.7,3,3,1,2,2,17,8,0,Matches,Gotham FC
Lilly Reale,us USA,DF,22-029,17.6,47,31,21,17,9,27,46,58.7,19,21,3,18,27,74,58,0,Matches,Gotham FC
Jess Carter,eng ENG,DF,27-318,14.3,29,17,17,11,1,17,26,65.4,9,10,7,3,9,38,64,2,Matches,Gotham FC
Sarah Schupansky,us USA,MF,22-016,13.6,16,6,2,9,5,4,10,40.0,6,14,1,13,5,21,6,0,Matches,Gotham FC
Nealy Martin,us USA,"MF,DF",27-141,11.8,17,10,8,6,3,8,14,57.1,6,5,2,3,14,31,24,0,Matches,Gotham FC
Gabi Portilho,br BRA,"MF,FW",30-054,9.4,19,12,2,12,5,8,20,40.0,12,15,1,14,8,27,5,0,Matches,Gotham FC
Geyse,br BRA,"FW,MF",27-167,8.6,17,10,5,5,7,5,16,31.3,11,11,0,11,0,17,10,0,Matches,Gotham FC
Mandy Freeman,us USA,DF,30-171,10.4,8,4,1,5,2,1,4,25.0,3,7,2,5,5,13,42,1,Matches,Gotham FC
Bruninha,br BRA,"DF,MF",23-086,9.8,13,11,5,6,2,10,21,47.6,11,7,0,7,11,24,16,0,Matches,Gotham FC
Taryn Torres,us USA,MF,26-140,8.5,16,10,3,10,3,8,15,53.3,7,12,2,10,6,22,15,1,Matches,Gotham FC
Ella Stevens,us USA,MF,27-273,7.2,9,3,0,5,4,3,4,75.0,1,7,2,5,5,14,4,0,Matches,Gotham FC
Rose Lavelle,us USA,MF,30-119,5.0,6,5,0,4,2,3,6,50.0,3,5,0,5,2,8,3,0,Matches,Gotham FC
Margaret Purce,us USA,"MF,FW",29-357,5.0,17,10,4,8,5,6,13,46.2,7,12,2,10,2,19,9,0,Matches,Gotham FC
Tierna Davidson,us USA,DF,26-357,2.5,5,4,3,2,0,3,3,100.0,0,1,0,1,2,7,9,0,Matches,Gotham FC
Katie Stengel,us USA,"FW,MF",33-193,2.6,9,8,1,5,3,4,6,66.7,2,7,0,7,2,11,3,0,Matches,Gotham FC
Khyah Harper,us USA,"FW,MF",23-026,2.3,4,2,1,3,0,3,5,60.0,2,2,1,1,1,5,2,0,Matches,Gotham FC
Josefine Hasbo,dk DEN,MF,23-294,2.0,8,4,3,4,1,4,8,50.0,4,2,2,0,0,8,4,0,Matches,Gotham FC
Jéssica Silva,pt POR,"MF,DF",30-273,1.0,2,2,0,2,0,1,2,50.0,1,0,0,0,0,2,0,0,Matches,Gotham FC
Sofia Cook,us USA,"MF,FW",21-034,1.6,5,2,2,3,0,3,5,60.0,2,2,0,2,0,5,2,0,Matches,Gotham FC
Mak Whitham,us USA,"MF,FW",15-045,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Gotham FC
Cecelia Kizer,us USA,MF,28-064,0.4,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches,Gotham FC
Stella Nyamekye,gh GHA,MF,19-357,0.3,1,0,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,Matches,Gotham FC
Kayla Duran,,DF,,0.2,1,0,1,0,0,0,0,,0,0,0,0,1,2,4,0,Matches,Gotham FC
Ryan Campbell,us USA,GK,23-176,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Gotham FC
Squad Total,,,28.1,19.0,334,200,116,151,67,146,284,51.4,138,185,35,150,136,470,401,7,,Gotham FC
Opponent Total,,,27.4,19.0,389,272,203,144,42,170,337,50.4,167,232,54,178,202,591,556,12,,Gotham FC
Kaleigh Kurtz,us USA,DF,28-001,19.0,22,15,15,7,0,7,15,46.7,8,25,16,9,22,44,121,3,Matches,North Carolina Courage
Ryan Williams,us USA,"DF,MF",29-199,19.0,29,20,12,11,6,10,22,45.5,12,29,12,17,24,53,70,0,Matches,North Carolina Courage
Casey Murphy,us USA,GK,29-138,18.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,2,Matches,North Carolina Courage
Manaka Matsukubo,jp JPN,"FW,MF",21-044,16.6,23,15,9,8,6,7,24,29.2,17,14,0,14,11,34,11,0,Matches,North Carolina Courage
Maycee Bell,us USA,DF,24-357,15.7,28,21,24,3,1,17,25,68.0,8,20,12,8,9,37,65,0,Matches,North Carolina Courage
Denise O'Sullivan,ie IRL,MF,31-218,15.5,72,51,34,27,11,32,58,55.2,26,37,2,35,27,99,18,0,Matches,North Carolina Courage
Riley Jackson,us USA,MF,19-282,14.8,41,25,25,14,2,19,30,63.3,11,15,5,10,8,49,17,1,Matches,North Carolina Courage
Ashley Sanchez,us USA,"FW,MF",26-178,13.6,17,9,2,9,6,7,16,43.8,9,20,1,19,8,25,17,0,Matches,North Carolina Courage
Jaedyn Shaw,us USA,"MF,FW",20-294,11.1,33,19,14,14,5,14,18,77.8,4,14,3,11,7,40,9,0,Matches,North Carolina Courage
Tyler Lussi,us USA,"FW,MF",30-227,8.8,26,17,10,9,7,12,19,63.2,7,12,2,10,7,33,21,0,Matches,North Carolina Courage
Shinomi Koyama,jp JPN,"MF,FW",20-222,9.1,19,11,9,5,5,9,10,90.0,1,10,1,9,4,23,8,0,Matches,North Carolina Courage
Malia Berkely,us USA,DF,27-209,8.9,12,6,7,4,1,8,12,66.7,4,12,6,6,8,20,27,3,Matches,North Carolina Courage
Felicitas Rauch,de GER,"DF,MF",29-133,7.5,10,8,5,2,3,9,12,75.0,3,10,2,8,8,18,25,0,Matches,North Carolina Courage
Talia Staude,us USA,DF,24-143,7.3,15,9,9,4,2,11,14,78.6,3,8,6,2,6,21,25,0,Matches,North Carolina Courage
Brianna Pinto,us USA,"FW,MF",25-109,5.6,3,0,2,1,0,2,4,50.0,2,4,1,3,6,9,5,0,Matches,North Carolina Courage
Hannah Betfort,us USA,FW,26-249,5.5,4,3,1,2,1,3,7,42.9,4,11,3,8,1,5,7,0,Matches,North Carolina Courage
Cortnee Vine,au AUS,FW,27-154,4.4,4,1,0,3,1,3,4,75.0,1,6,0,6,4,8,5,0,Matches,North Carolina Courage
Aline,br BRA,"FW,MF",20-065,3.1,4,2,1,3,0,0,1,0.0,1,6,0,6,1,5,1,0,Matches,North Carolina Courage
Meredith Speck,us USA,"FW,DF",32-221,2.7,4,4,2,2,0,2,6,33.3,4,2,0,2,2,6,2,0,Matches,North Carolina Courage
Dani Weatherholt,us USA,"MF,DF",31-177,1.1,2,1,2,0,0,1,2,50.0,1,3,0,3,1,3,7,0,Matches,North Carolina Courage
Marisa Bova,us USA,GK,25-035,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,North Carolina Courage
Payton Linnehan,us USA,"FW,MF",24-169,0.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches,North Carolina Courage
Brooklyn Courtnall,ca CAN,"DF,FW",22-256,0.3,4,2,2,0,2,3,6,50.0,3,0,0,0,1,5,1,0,Matches,North Carolina Courage
Squad Total,,,26.2,19.0,372,239,185,128,59,176,305,57.7,129,259,72,187,165,537,474,9,,North Carolina Courage
Opponent Total,,,27.3,19.0,317,225,125,123,69,142,255,55.7,113,216,59,157,197,514,465,4,,North Carolina Courage
Sarah Gorden,us USA,DF,32-362,18.3,18,14,14,3,1,9,15,60.0,6,15,12,3,16,34,79,1,Matches,Angel City FC
Riley Tiernan,us USA,FW,22-300,18.2,15,11,2,5,8,1,10,10.0,9,22,3,19,7,22,9,0,Matches,Angel City FC
Kennedy Fuller,us USA,MF,18-185,16.5,28,19,5,20,3,7,23,30.4,16,29,4,25,8,36,30,0,Matches,Angel City FC
Alyssa Thompson,us USA,"FW,MF",20-307,15.5,36,23,9,19,8,17,26,65.4,9,14,2,12,8,44,13,0,Matches,Angel City FC
Alanna Kennedy,au AUS,"MF,DF",30-232,15.0,19,13,10,8,1,10,21,47.6,11,16,6,10,11,30,66,1,Matches,Angel City FC
Angelina Anderson,us USA,GK,24-172,15.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,15,2,Matches,Angel City FC
Mary Vignola,us USA,"DF,FW",27-211,14.3,42,22,30,9,3,19,27,70.4,8,31,7,24,23,65,47,0,Matches,Angel City FC
Gisele Thompson,us USA,"DF,FW",19-282,12.2,33,18,13,12,8,16,17,94.1,1,16,2,14,16,49,26,0,Matches,Angel City FC
Madison Hammond,us USA,MF,27-299,9.5,23,17,6,16,1,10,18,55.6,8,13,2,11,8,31,16,1,Matches,Angel City FC
Megan Reid,us USA,DF,29-154,8.8,17,14,10,7,0,9,13,69.2,4,11,9,2,2,19,69,0,Matches,Angel City FC
Savannah King,us USA,DF,20-215,7.9,6,4,2,3,1,1,4,25.0,3,8,4,4,10,16,36,1,Matches,Angel City FC
Macey Hodge,us USA,MF,24-129,7.4,25,14,7,14,4,7,14,50.0,7,10,2,8,8,33,15,1,Matches,Angel City FC
Miyabi Moriya,jp JPN,DF,29-019,9.8,31,20,18,8,5,12,19,63.2,7,17,4,13,11,42,31,0,Matches,Angel City FC
Claire Emslie,sct SCO,"FW,MF",31-186,5.8,10,7,2,3,5,4,12,33.3,8,5,0,5,3,13,4,0,Matches,Angel City FC
Katie Zelem,eng ENG,MF,29-233,6.5,14,10,6,5,3,3,8,37.5,5,7,0,7,11,25,8,1,Matches,Angel City FC
Sveindís Jane Jónsdóttir,is ISL,FW,24-097,5.8,13,10,5,6,2,9,20,45.0,11,10,0,10,5,18,14,0,Matches,Angel City FC
Evelyn Shores,us USA,DF,20-255,5.3,18,11,10,7,1,7,14,50.0,7,4,0,4,10,28,23,0,Matches,Angel City FC
Julie Dufour,fr FRA,"FW,MF",24-104,4.1,5,4,3,1,1,0,2,0.0,2,5,0,5,3,8,0,0,Matches,Angel City FC
Hannah Seabert,dk DEN,GK,30-194,4.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,3,1,Matches,Angel City FC
Christen Press,us USA,"FW,MF",36-255,4.0,6,4,2,4,0,3,7,42.9,4,4,0,4,6,12,4,0,Matches,Angel City FC
Jun Endō,jp JPN,MF,25-109,1.7,1,1,0,0,1,0,3,0.0,3,1,0,1,1,2,1,0,Matches,Angel City FC
Maiara,br BRA,MF,21-030,1.7,4,4,0,3,1,2,4,50.0,2,2,0,2,2,6,2,0,Matches,Angel City FC
Casey Phair,kr KOR,"FW,MF",18-073,1.0,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches,Angel City FC
Hannah Johnson,us USA,DF,22-202,0.3,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,1,Matches,Angel City FC
Sophia Mattice,us USA,"DF,MF",23-077,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,3,0,Matches,Angel City FC
Sara Doorsoun,de GER,DF,33-297,0.2,1,1,1,0,0,0,0,,0,2,1,1,1,2,3,0,Matches,Angel City FC
Lily Nabet,us USA,MF,25-351,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Angel City FC
Squad Total,,,25.7,19.0,367,242,156,153,58,148,280,52.9,132,245,58,187,170,537,517,10,,Angel City FC
Opponent Total,,,27.3,19.0,326,199,147,125,54,132,269,49.1,137,218,68,150,159,485,481,12,,Angel City FC
Danielle Colaprico,us USA,MF,32-128,17.4,34,20,17,14,3,14,23,60.9,9,17,5,12,32,66,35,0,Matches,Houston Dash
Delanie Sheehan,us USA,MF,26-241,16.3,25,16,9,13,3,9,20,45.0,11,28,2,26,12,37,22,1,Matches,Houston Dash
Paige Nielsen,us USA,DF,31-332,17.6,26,19,17,8,1,16,22,72.7,6,17,9,8,20,46,118,2,Matches,Houston Dash
Yazmeen Ryan,us USA,"FW,MF",26-198,17.0,19,13,4,9,6,3,10,30.0,7,18,4,14,9,28,14,2,Matches,Houston Dash
Maggie Graham,us USA,"MF,DF",23-063,15.9,24,14,10,10,4,11,23,47.8,12,20,7,13,20,44,23,0,Matches,Houston Dash
Natalie Jacobs,us USA,DF,28-026,15.1,23,14,16,6,1,11,15,73.3,4,19,12,7,28,51,67,1,Matches,Houston Dash
Avery Patterson,us USA,"DF,MF",23-089,14.4,40,24,25,11,4,22,31,71.0,9,23,7,16,27,67,47,0,Matches,Houston Dash
