Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches,Team
Caroline Conti,us USA,"MF,FW",24-166,12.7,21,17,3,13,5,10,20,50.0,10,12,1,11,5,26,15,0,Matches,Bay FC
Kiki Pickett,us USA,MF,26-133,10.6,15,9,5,7,3,7,11,63.6,4,12,3,9,14,29,27,0,Matches,Bay FC
Rachel Hill,us USA,"MF,FW",30-146,9.9,23,16,6,14,3,12,24,50.0,12,12,0,12,6,29,16,0,Matches,Bay FC
Karlie Lema,us USA,"FW,MF",22-073,9.1,21,13,13,6,2,6,11,54.5,5,13,1,12,3,24,9,0,Matches,Bay FC
Dorian Bailey,us USA,MF,28-225,8.6,13,10,4,7,2,4,8,50.0,4,11,2,9,15,28,17,0,Matches,Bay FC
Penelope Hocking,us USA,"MF,FW",25-255,8.0,15,11,9,4,2,6,10,60.0,4,11,1,10,3,18,6,1,Matches,Bay FC
Hannah Bebar,us USA,MF,24-005,6.9,21,16,6,9,6,14,30,46.7,16,18,1,17,11,32,16,1,Matches,Bay FC
Kelli Hubly,us USA,DF,31-032,6.8,15,6,12,2,1,9,10,90.0,1,10,4,6,7,22,47,0,Matches,Bay FC
Tess Boade,us USA,MF,26-219,6.2,6,5,1,4,1,4,11,36.4,7,7,0,7,4,10,3,0,Matches,Bay FC
Asisat Oshoala,ng NGA,FW,30-336,5.1,6,4,3,2,1,0,2,0.0,2,6,0,6,2,8,5,0,Matches,Bay FC
Emily Menges,us USA,DF,33-044,2.9,2,1,1,1,0,2,6,33.3,4,4,3,1,2,4,14,0,Matches,Bay FC
Madeline Moreau,us USA,"DF,MF",24-279,2.9,4,2,1,2,1,3,6,50.0,3,6,0,6,2,6,14,0,Matches,Bay FC
Jamie Shepherd,us USA,MF,24-336,2.5,4,4,1,2,1,0,1,0.0,1,2,1,1,1,5,6,0,Matches,Bay FC
Emmie Allen,us USA,GK,22-320,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Bay FC
Sydney Collins,ca CAN,DF,26-002,1.5,1,0,1,0,0,1,2,50.0,1,2,1,1,2,3,8,0,Matches,Bay FC
Jordan Brewster,us USA,DF,25-348,0.3,0,0,0,0,0,0,0,,0,1,1,0,1,1,2,0,Matches,Bay FC
Catherine Paulson,us USA,"DF,FW",23-309,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,Bay FC
Squad Total,,,27.0,19.0,335,217,149,135,51,149,276,54.0,127,221,50,171,179,514,510,11,,Bay FC
Opponent Total,,,27.4,19.0,319,207,145,129,45,157,278,56.5,121,207,41,166,170,489,525,7,,Bay FC
Taylor Malham,us USA,DF,26-113,19.0,49,34,27,16,6,25,27,92.6,2,18,4,14,23,72,73,0,Matches,Chicago Red Stars
Samantha Staab,us USA,DF,28-166,17.0,14,10,6,8,0,7,12,58.3,5,23,13,10,11,25,107,0,Matches,Chicago Red Stars
Julia Grosso,ca CAN,"MF,FW",25-012,16.5,32,21,9,16,7,13,22,59.1,9,19,1,18,10,42,14,0,Matches,Chicago Red Stars
Ally Schlegel,us USA,"FW,MF",25-215,15.5,20,13,7,9,4,5,19,26.3,14,20,3,17,11,31,23,0,Matches,Chicago Red Stars
Alyssa Naeher,us USA,GK,37-143,16.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,8,2,Matches,Chicago Red Stars
Maitane López Millán,es ESP,MF,30-181,15.0,42,25,17,22,3,16,27,59.3,11,20,6,14,22,64,28,0,Matches,Chicago Red Stars
Ludmila,br BRA,FW,30-283,14.8,24,13,6,14,4,5,14,35.7,9,13,0,13,7,31,5,0,Matches,Chicago Red Stars
Cari Roccaro,us USA,"DF,MF",31-054,13.4,18,9,12,5,1,8,10,80.0,2,10,4,6,17,35,56,0,Matches,Chicago Red Stars
Bea Franklin,us USA,"MF,DF",24-341,14.1,26,12,17,6,3,4,11,36.4,7,22,10,12,25,51,43,2,Matches,Chicago Red Stars
Jameese Joseph,us USA,"FW,MF",23-130,10.7,25,14,13,6,6,8,15,53.3,7,9,1,8,5,30,4,0,Matches,Chicago Red Stars
Camryn Biegalski,us USA,DF,27-030,12.1,44,32,35,6,3,27,39,69.2,12,17,6,11,18,62,53,3,Matches,Chicago Red Stars
Shea Groom,us USA,"FW,MF",32-190,8.8,15,6,6,7,2,8,13,61.5,5,12,3,9,5,20,11,0,Matches,Chicago Red Stars
Jenna Bike,us USA,"FW,MF",27-220,4.6,6,3,0,3,3,2,4,50.0,2,3,0,3,2,8,7,0,Matches,Chicago Red Stars
Kathrin Hendrich,de GER,DF,33-157,5.2,5,4,4,1,0,3,7,42.9,4,5,3,2,3,8,17,1,Matches,Chicago Red Stars
Natalia Kuikka,fi FIN,DF,29-283,3.9,10,6,5,4,1,5,9,55.6,4,8,1,7,3,13,16,0,Matches,Chicago Red Stars
Manaka Hayashi,jp JPN,MF,21-025,4.8,18,12,2,13,3,9,15,60.0,6,7,0,7,3,21,6,1,Matches,Chicago Red Stars
Hannah Anderson,us USA,DF,24-160,4.1,6,3,5,1,0,4,6,66.7,2,8,3,5,6,12,22,1,Matches,Chicago Red Stars
Halle Mackiewicz,us USA,GK,23-351,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Chicago Red Stars
Nádia Gomes,pt POR,"FW,MF",28-305,3.5,9,3,4,2,3,3,9,33.3,6,8,1,7,4,13,13,0,Matches,Chicago Red Stars
Leilanni Nesbeth,bm BER,"MF,FW",24-055,1.4,5,3,2,2,1,3,6,50.0,3,2,0,2,1,6,3,0,Matches,Chicago Red Stars
Justina Gaynor,us USA,DF,23-263,0.8,1,1,0,0,1,1,1,100.0,0,1,0,1,3,4,1,1,Matches,Chicago Red Stars
Sam Cary,us USA,DF,24-319,0.8,2,1,2,0,0,1,2,50.0,1,0,0,0,0,2,4,0,Matches,Chicago Red Stars
Micayla Johnson,us USA,"FW,MF",17-235,1.7,3,3,1,1,1,2,4,50.0,2,3,1,2,4,7,0,1,Matches,Chicago Red Stars
Ava Cook,us USA,"FW,DF",25-067,0.9,1,1,0,0,1,0,1,0.0,1,3,1,2,3,4,7,0,Matches,Chicago Red Stars
Chardonnay Curran,us USA,"MF,FW",26-023,0.9,1,1,0,1,0,1,3,33.3,2,1,0,1,2,3,1,0,Matches,Chicago Red Stars
Catherine Barry,us USA,FW,23-268,0.5,1,1,0,1,0,0,0,,0,0,0,0,1,2,2,0,Matches,Chicago Red Stars
Squad Total,,,28.2,19.0,377,231,180,144,53,160,277,57.8,117,232,61,171,189,566,524,12,,Chicago Red Stars
Opponent Total,,,27.0,19.0,336,223,133,142,61,147,255,57.6,108,206,44,162,138,474,413,7,,Chicago Red Stars
Kate Del Fava,us USA,DF,27-049,19.0,18,15,12,5,1,12,20,60.0,8,15,12,3,23,41,124,1,Matches,Utah Royals FC
Amanda McGlynn,us USA,GK,26-311,18.0,2,1,2,0,0,2,3,66.7,1,0,0,0,0,2,17,5,Matches,Utah Royals FC
Claudia Zornoza,es ESP,MF,34-325,15.3,37,22,9,24,4,22,54,40.7,32,13,3,10,16,53,19,0,Matches,Utah Royals FC
Mina Tanaka,jp JPN,"MF,FW",31-135,15.1,23,16,9,10,4,14,14,100.0,0,18,4,14,8,31,18,0,Matches,Utah Royals FC
Nuria Rábano,es ESP,DF,26-087,12.7,67,51,49,12,6,39,55,70.9,16,18,4,14,22,89,65,0,Matches,Utah Royals FC
Janni Thomsen,dk DEN,"DF,FW",25-206,13.8,28,21,15,10,3,20,33,60.6,13,18,6,12,16,44,46,2,Matches,Utah Royals FC
Ana Tejada,es ESP,"MF,DF",23-100,12.7,24,12,10,13,1,16,26,61.5,10,11,4,7,8,32,43,1,Matches,Utah Royals FC
Ally Sentnor,us USA,"FW,MF",21-204,12.5,15,9,7,5,3,10,18,55.6,8,21,1,20,2,17,6,0,Matches,Utah Royals FC
Brecken Mozingo,us USA,"FW,MF",24-186,11.8,21,17,8,7,6,8,17,47.1,9,7,0,7,4,25,14,0,Matches,Utah Royals FC
Dana Foederer,nl NED,MF,23-045,10.9,27,15,18,7,2,21,40,52.5,19,19,2,17,9,36,15,1,Matches,Utah Royals FC
Bianca St-Georges,ca CAN,FW,28-044,9.7,21,14,12,6,3,9,13,69.2,4,9,2,7,6,27,9,0,Matches,Utah Royals FC
Aisha Solórzano,gt GUA,FW,27-150,8.5,7,6,1,3,3,4,7,57.1,3,8,1,7,1,8,0,0,Matches,Utah Royals FC
Paige Monaghan,us USA,"FW,DF",28-301,5.7,12,7,7,2,3,6,10,60.0,4,9,0,9,2,14,12,0,Matches,Utah Royals FC
Lauren Flynn,us USA,DF,23-111,6.8,12,8,8,4,0,7,11,63.6,4,9,4,5,7,19,51,0,Matches,Utah Royals FC
Kaleigh Riehl,us USA,DF,28-324,6.1,3,3,3,0,0,2,3,66.7,1,12,7,5,5,8,30,0,Matches,Utah Royals FC
Imani Dorsey,us USA,DF,29-173,5.6,13,11,10,2,1,4,5,80.0,1,5,2,3,2,15,19,0,Matches,Utah Royals FC
Cecelia Kizer,us USA,"FW,MF",28-064,4.3,7,5,3,1,3,3,7,42.9,4,4,0,4,3,10,5,1,Matches,Utah Royals FC
Madison Pogarch,us USA,DF,27-309,6.7,18,11,11,6,1,7,15,46.7,8,6,2,4,6,24,10,0,Matches,Utah Royals FC
Aria Nagai,,MF,,3.4,3,3,2,1,0,2,3,66.7,1,5,0,5,10,13,8,0,Matches,Utah Royals FC
Macey Fraser,nz NZL,FW,23-061,2.1,6,6,3,3,0,4,7,57.1,3,2,0,2,0,6,0,0,Matches,Utah Royals FC
Cloé Lacasse,ca CAN,FW,32-065,2.2,5,5,1,3,1,3,5,60.0,2,1,0,1,2,7,2,0,Matches,Utah Royals FC
KK Ream,us USA,"FW,MF",16-065,2.0,2,2,1,1,0,1,1,100.0,0,0,0,0,5,7,0,0,Matches,Utah Royals FC
Mikayla Cluff,us USA,MF,26-197,1.7,3,2,2,1,0,0,4,0.0,4,4,0,4,2,5,1,0,Matches,Utah Royals FC
Mia Justus,us USA,GK,23-007,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Matches,Utah Royals FC
Ana María Guzmán,co COL,"DF,FW",20-091,0.9,2,2,0,1,1,2,3,66.7,1,2,0,2,1,3,2,0,Matches,Utah Royals FC
Sydney Jones,,FW,,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches,Utah Royals FC
Alex Loera,us USA,MF,26-083,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Utah Royals FC
Squad Total,,,26.9,19.0,376,264,203,127,46,218,375,58.1,157,216,54,162,160,536,516,12,,Utah Royals FC
Opponent Total,,,27.2,19.0,315,204,119,137,59,128,235,54.5,107,213,60,153,172,487,372,2,,Utah Royals FC
