Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 4_level_0_MP
Brianna Pinto,us USA,"FW,MF",25-109,,5,505.0,5.6,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.7,1.7,0.3,2.0,1.0,7.0,19.0,0.36,0.0,0.36,0.36,0.36,0.3,0.06,0.36,0.3,0.36,Matches,North Carolina Courage,17.0
Hannah Betfort,us USA,FW,26-249,,4,492.0,5.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.7,1.7,0.4,2.1,10.0,8.0,36.0,0.18,0.0,0.18,0.18,0.18,0.32,0.08,0.39,0.32,0.39,Matches,North Carolina Courage,14.0
Cortnee Vine,au AUS,FW,27-154,,4,399.0,4.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.9,1.9,0.7,2.6,5.0,7.0,30.0,0.23,0.0,0.23,0.23,0.23,0.43,0.15,0.58,0.43,0.58,Matches,North Carolina Courage,11.0
Aline,br BRA,"FW,MF",20-065,,3,276.0,3.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.4,1.2,9.0,4.0,26.0,0.33,0.0,0.33,0.33,0.33,0.25,0.14,0.39,0.25,0.39,Matches,North Carolina Courage,10.0
Meredith Speck,us USA,"FW,DF",32-221,,2,240.0,2.7,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,5.0,8.0,38.0,0.0,0.75,0.75,0.0,0.75,0.02,0.29,0.31,0.02,0.31,Matches,North Carolina Courage,9.0
Dani Weatherholt,us USA,"MF,DF",31-177,,1,99.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,North Carolina Courage,6.0
Marisa Bova,us USA,GK,25-035,,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,North Carolina Courage,1.0
Payton Linnehan,us USA,"FW,MF",24-169,,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,North Carolina Courage,2.0
Brooklyn Courtnall,ca CAN,"DF,FW",22-256,,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,North Carolina Courage,2.0
Katie Cappelletti,,GK,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,North Carolina Courage,0.0
Heather Macnab,,FW,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,North Carolina Courage,0.0
Charlotte Mclean,au AUS,DF,25-193,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,North Carolina Courage,0.0
Amber Nguyen,us USA,MF,23-196,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,North Carolina Courage,0.0
Squad Total,,,26.2,,209,1710.0,19.0,23.0,14.0,37.0,21.0,2.0,4.0,19.0,0.0,29.7,26.8,21.9,48.6,209.0,705.0,699.0,1.21,0.74,1.95,1.11,1.84,1.56,1.15,2.71,1.41,2.56,,North Carolina Courage,19.0
Opponent Total,,,27.3,,209,1710.0,19.0,29.0,21.0,50.0,28.0,1.0,1.0,20.0,1.0,25.6,24.9,19.1,44.0,238.0,572.0,562.0,1.53,1.11,2.63,1.47,2.58,1.35,1.01,2.35,1.31,2.32,,North Carolina Courage,19.0
Sarah Gorden,us USA,DF,32-362,,19,1643.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,13.0,73.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Angel City FC,19.0
