Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Playing Time_MP
Halle Mackiewicz,us USA,GK,23-349,4.0,3,271.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chicago Red Stars,
Nádia Gomes,pt POR,"FW,MF",28-303,12.0,2,313.0,3.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.5,8.0,3.0,24.0,0.29,0.29,0.58,0.29,0.58,0.29,0.15,0.44,0.29,0.44,Matches,Chicago Red Stars,
Leilanni Nesbeth,bm BER,"MF,FW",24-053,7.0,1,127.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.3,0.3,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.18,0.19,0.02,0.19,Matches,Chicago Red Stars,
Justina Gaynor,us USA,DF,23-261,2.0,1,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,Matches,Chicago Red Stars,
Sam Cary,us USA,DF,24-317,1.0,1,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chicago Red Stars,
Micayla Johnson,us USA,"FW,MF",17-233,14.0,0,154.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,5.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.11,0.09,0.2,0.11,0.2,Matches,Chicago Red Stars,
Ava Cook,us USA,"FW,DF",25-065,8.0,0,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,Chicago Red Stars,
Chardonnay Curran,us USA,"MF,FW",26-021,6.0,0,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,3.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches,Chicago Red Stars,
Catherine Barry,us USA,FW,23-266,4.0,0,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.48,0.48,Matches,Chicago Red Stars,
Meg Boade,,MF,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chicago Red Stars,
Sarah Griffith,us USA,FW,26-029,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chicago Red Stars,
Stephanie Sparkowski,,GK,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chicago Red Stars,
Mackenzie Wood,us USA,GK,25-066,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chicago Red Stars,
Squad Total,,,28.2,19.0,209,1710.0,19.0,24.0,18.0,42.0,24.0,0.0,0.0,25.0,0.0,21.3,21.3,16.3,37.6,206.0,511.0,498.0,1.26,0.95,2.21,1.26,2.21,1.12,0.86,1.98,1.12,1.98,,Chicago Red Stars,
Opponent Total,,,27.0,19.0,209,1710.0,19.0,35.0,23.0,58.0,33.0,2.0,2.0,17.0,0.0,30.3,28.8,20.5,49.4,313.0,758.0,750.0,1.84,1.21,3.05,1.74,2.95,1.59,1.08,2.67,1.52,2.6,,Chicago Red Stars,
Kate Del Fava,us USA,DF,27-047,19.0,19,1710.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,0.4,1.2,11.0,84.0,8.0,0.0,0.05,0.05,0.0,0.05,0.04,0.02,0.07,0.04,0.07,Matches,Utah Royals FC,
Amanda McGlynn,us USA,GK,26-309,18.0,18,1620.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.8,0.8,1.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.0,0.04,0.04,0.0,0.04,Matches,Utah Royals FC,
Claudia Zornoza,es ESP,MF,34-323,17.0,17,1376.0,15.3,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,1.8,2.7,15.0,81.0,17.0,0.07,0.13,0.2,0.07,0.2,0.06,0.12,0.17,0.06,0.17,Matches,Utah Royals FC,
Mina Tanaka,jp JPN,"MF,FW",31-133,16.0,15,1358.0,15.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,3.2,3.2,1.2,4.5,16.0,39.0,55.0,0.13,0.0,0.13,0.13,0.13,0.22,0.08,0.3,0.22,0.3,Matches,Utah Royals FC,
Nuria Rábano,es ESP,DF,26-085,16.0,15,1144.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,1.0,1.1,20.0,36.0,12.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.09,0.01,0.09,Matches,Utah Royals FC,
Janni Thomsen,dk DEN,"DF,FW",25-204,19.0,13,1244.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,0.5,1.4,42.0,30.0,47.0,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.1,0.07,0.1,Matches,Utah Royals FC,
Ana Tejada,es ESP,"MF,DF",23-098,16.0,13,1145.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.1,0.1,0.5,0.6,3.0,38.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.04,0.01,0.04,Matches,Utah Royals FC,
Ally Sentnor,us USA,"FW,MF",21-202,13.0,13,1126.0,12.5,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,2.1,1.4,1.5,2.9,23.0,33.0,61.0,0.08,0.08,0.16,0.0,0.08,0.17,0.12,0.29,0.11,0.23,Matches,Utah Royals FC,
Brecken Mozingo,us USA,"FW,MF",24-184,17.0,13,1063.0,11.8,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.5,3.4,26.0,15.0,66.0,0.25,0.0,0.25,0.25,0.25,0.17,0.12,0.29,0.17,0.29,Matches,Utah Royals FC,
Dana Foederer,nl NED,MF,23-043,19.0,10,985.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.4,0.8,3.0,32.0,20.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.07,0.04,0.07,Matches,Utah Royals FC,
Bianca St-Georges,ca CAN,FW,28-042,16.0,10,875.0,9.7,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,3.4,3.4,1.0,4.4,24.0,10.0,64.0,0.31,0.0,0.31,0.31,0.31,0.35,0.11,0.46,0.35,0.46,Matches,Utah Royals FC,
Aisha Solórzano,gt GUA,FW,27-148,14.0,10,769.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2,1.2,0.7,1.9,10.0,14.0,30.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,0.22,0.14,0.22,Matches,Utah Royals FC,
Paige Monaghan,us USA,"FW,DF",28-299,9.0,7,515.0,5.7,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.5,1.5,0.2,1.7,13.0,4.0,22.0,0.35,0.0,0.35,0.35,0.35,0.27,0.04,0.3,0.27,0.3,Matches,Utah Royals FC,
Lauren Flynn,us USA,DF,23-109,8.0,6,609.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Utah Royals FC,
Kaleigh Riehl,us USA,DF,28-322,8.0,6,553.0,6.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,9.0,1.0,0.0,0.16,0.16,0.0,0.16,0.0,0.01,0.01,0.0,0.01,Matches,Utah Royals FC,
Imani Dorsey,us USA,DF,29-171,12.0,5,505.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,7.0,18.0,20.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.07,0.05,0.07,Matches,Utah Royals FC,
Cecelia Kizer,us USA,"FW,MF",28-062,8.0,5,388.0,4.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.9,5.0,8.0,14.0,0.23,0.0,0.23,0.23,0.23,0.1,0.1,0.2,0.1,0.2,Matches,Utah Royals FC,
Madison Pogarch,us USA,DF,27-307,15.0,4,601.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,7.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches,Utah Royals FC,
Aria Nagai,,MF,,6.0,4,304.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,Matches,Utah Royals FC,
Macey Fraser,nz NZL,FW,23-059,5.0,2,190.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.1,0.08,0.1,Matches,Utah Royals FC,
Cloé Lacasse,ca CAN,FW,32-063,5.0,1,195.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.3,0.7,5.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.2,0.12,0.32,0.2,0.32,Matches,Utah Royals FC,
KK Ream,us USA,"FW,MF",16-063,9.0,1,180.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.6,1.3,4.0,1.0,7.0,0.5,0.0,0.5,0.5,0.5,0.33,0.31,0.65,0.33,0.65,Matches,Utah Royals FC,
Mikayla Cluff,us USA,MF,26-195,7.0,1,155.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches,Utah Royals FC,
Mia Justus,us USA,GK,23-005,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Utah Royals FC,
Ana María Guzmán,co COL,"DF,FW",20-089,5.0,0,78.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches,Utah Royals FC,
Sydney Jones,,FW,,1.0,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Utah Royals FC,
Alex Loera,us USA,MF,26-081,1.0,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches,Utah Royals FC,
Abby Boyan,,MF,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Utah Royals FC,
DeAira Jackson,us USA,GK,23-169,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Utah Royals FC,
Tatumn Milazzo,us USA,DF,27-144,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Utah Royals FC,
Cristina Roque,pr PUR,GK,23-306,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Utah Royals FC,
Squad Total,,,26.9,19.0,209,1710.0,19.0,14.0,6.0,20.0,13.0,1.0,1.0,34.0,1.0,18.5,17.8,13.4,31.2,238.0,514.0,506.0,0.74,0.32,1.05,0.68,1.0,0.98,0.7,1.68,0.94,1.64,,Utah Royals FC,
Opponent Total,,,27.2,19.0,209,1710.0,19.0,32.0,20.0,52.0,29.0,3.0,5.0,32.0,2.0,36.4,32.7,22.7,55.4,266.0,666.0,655.0,1.68,1.05,2.74,1.53,2.58,1.91,1.19,3.11,1.72,2.92,,Utah Royals FC,
